This file was created by CMPT_IND_RETS using the 201708 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        Cnsmr  Manuf  HiTec  Hlth   Other
193110    241    282     30      6    138
193111    241    282     30      6    138
193112    240    280     30      6    137
193201    240    280     30      6    137
193202    240    280     30      6    137
193203    238    279     30      6    137
193204    237    278     30      6    134
193205    235    277     30      6    133
193206    231    277     30      6    131
193207    233    279     29      6    132
193208    230    279     29      6    132
193209    229    278     29      6    132
193210    229    278     29      6    132
193211    228    278     29      6    132
193212    227    277     29      6    131
193301    227    277     29      6    131
193302    225    277     29      6    131
193303    224    276     29      6    131
193304    224    276     29      6    131
193305    224    274     29      6    131
193306    220    271     29      6    131
193307    222    277     31      6    137
193308    222    276     31      6    137
193309    222    276     31      6    136
193310    222    276     31      6    136
193311    222    276     31      6    136
193312    222    276     30      6    136
193401    222    276     30      6    135
193402    222    276     30      6    135
193403    222    276     30      6    135
193404    222    276     30      6    135
193405    222    274     30      6    135
193406    222    274     30      6    135
193407    225    275     31      9    141
193408    225    275     31      9    141
193409    225    275     31      9    141
193410    225    274     31      9    137
193411    225    273     31      9    137
193412    225    273     31      9    137
193501    225    273     31      9    136
193502    223    273     31      9    136
193503    223    273     31      9    136
193504    222    273     31      9    136
193505    222    273     31      9    135
193506    222    273     31      9    135
193507    224    275     30      9    138
193508    224    274     30      9    138
193509    223    274     30      9    136
193510    223    273     30      9    136
193511    223    273     30      9    136
193512    223    272     30      9    136
193601    223    272     30      9    136
193602    223    271     30      9    136
193603    221    271     30      9    136
193604    221    270     30      9    136
193605    220    270     30      9    136
193606    220    270     30      9    136
193607    238    286     31     10    142
193608    238    285     31     10    141
193609    238    285     31     10    141
193610    238    283     31     10    140
193611    238    283     31     10    140
193612    238    282     31     10    140
193701    237    282     31     10    137
193702    237    282     31     10    137
193703    237    281     31     10    137
193704    237    279     31     10    137
193705    237    279     31     10    137
193706    237    279     31     10    137
193707    250    301     34     12    144
193708    250    301     34     12    144
193709    250    300     34     12    144
193710    250    300     34     12    144
193711    250    300     34     12    144
193712    250    300     34     12    144
193801    250    300     34     12    144
193802    250    300     34     12    144
193803    250    300     34     12    144
193804    250    300     34     12    143
193805    249    299     34     12    142
193806    249    299     34     12    142
193807    253    314     35     12    147
193808    251    313     35     12    146
193809    251    312     35     12    146
193810    251    312     35     12    145
193811    251    312     35     12    144
193812    250    311     35     12    141
193901    250    311     35     12    141
193902    250    311     35     12    141
193903    250    311     35     12    141
193904    250    311     35     12    140
193905    249    311     35     12    140
193906    249    311     35     12    139
193907    250    314     36     12    138
193908    250    314     36     12    136
193909    250    313     36     12    134
193910    250    313     36     12    133
193911    250    313     36     12    132
193912    250    313     36     12    132
194001    250    312     36     12    132
194002    250    312     36     12    132
194003    250    312     36     12    132
194004    250    312     36     12    132
194005    248    312     36     12    132
194006    248    312     36     12    132
194007    254    322     36     13    138
194008    253    322     36     13    137
194009    253    322     36     13    135
194010    253    322     36     13    134
194011    253    322     36     13    134
194012    251    321     36     13    134
194101    251    321     36     13    134
194102    251    320     36     13    134
194103    251    320     36     13    134
194104    251    320     36     13    134
194105    251    320     36     13    134
194106    251    320     36     13    133
194107    253    331     38     13    138
194108    253    331     38     13    137
194109    253    331     38     13    137
194110    253    331     38     13    137
194111    253    331     38     13    136
194112    253    331     38     13    136
194201    253    331     38     13    136
194202    253    331     38     13    136
194203    252    331     38     13    136
194204    252    331     38     13    136
194205    252    331     38     13    136
194206    252    331     38     13    136
194207    253    336     39     14    138
194208    253    336     39     14    138
194209    253    336     39     14    138
194210    252    336     39     14    138
194211    252    336     39     14    138
194212    252    335     39     14    138
194301    252    335     39     14    138
194302    252    334     39     14    138
194303    252    333     39     14    138
194304    252    332     39     14    138
194305    252    332     39     14    138
194306    252    332     39     14    137
194307    254    333     40     14    137
194308    254    333     40     14    137
194309    254    333     40     14    137
194310    254    332     40     14    137
194311    254    331     40     14    137
194312    254    331     40     14    135
194401    254    330     40     14    133
194402    254    330     40     14    132
194403    254    330     40     14    132
194404    254    330     40     14    132
194405    254    329     40     14    132
194406    254    329     40     14    132
194407    257    345     43     15    135
194408    257    345     43     15    135
194409    256    345     43     15    135
194410    255    345     43     15    134
194411    255    345     43     15    134
194412    255    345     43     15    133
194501    254    345     43     15    133
194502    254    345     43     15    133
194503    254    345     43     15    133
194504    254    345     43     15    133
194505    254    345     43     15    133
194506    254    345     43     15    133
194507    266    353     46     16    138
194508    266    353     46     16    138
194509    266    353     46     16    138
194510    265    353     46     16    138
194511    265    352     46     16    137
194512    265    352     46     16    137
194601    265    351     46     16    137
194602    264    351     46     16    137
194603    264    351     46     16    137
194604    264    351     46     16    137
194605    264    351     46     16    137
194606    263    351     46     16    137
194607    274    374     48     18    142
194608    273    374     48     18    142
194609    273    374     48     18    142
194610    272    374     48     18    142
194611    272    374     47     18    142
194612    272    374     47     18    142
194701    272    374     47     18    142
194702    272    374     47     18    142
194703    272    374     47     18    142
194704    272    374     47     18    142
194705    272    374     47     18    142
194706    272    374     47     18    141
194707    289    395     50     18    146
194708    289    395     50     18    146
194709    289    395     50     18    146
194710    289    394     50     18    146
194711    289    394     50     18    146
194712    289    394     50     18    146
194801    289    394     50     18    146
194802    289    394     50     18    146
194803    289    394     50     18    146
194804    289    394     50     18    146
194805    289    394     50     18    146
194806    289    394     50     18    146
194807    300    412     51     18    154
194808    300    412     51     18    154
194809    300    411     51     18    154
194810    300    411     51     18    154
194811    300    411     51     18    154
194812    300    411     51     18    154
194901    300    411     51     18    154
194902    300    411     51     18    154
194903    300    411     51     18    154
194904    300    411     51     18    154
194905    300    411     51     18    154
194906    300    411     51     18    154
194907    304    425     53     18    158
194908    304    425     53     18    158
194909    304    425     53     18    158
194910    304    425     53     18    158
194911    304    425     53     18    158
194912    304    425     53     18    157
195001    302    425     53     18    157
195002    302    425     53     18    157
195003    302    425     53     18    157
195004    302    425     53     18    157
195005    302    425     52     18    157
195006    302    424     52     18    157
195007    303    443     52     18    159
195008    303    443     52     18    159
195009    303    443     52     18    159
195010    303    443     52     18    159
195011    303    443     52     18    159
195012    302    442     52     18    159
195101    302    442     52     18    158
195102    302    442     52     18    158
195103    302    442     52     18    158
195104    302    442     52     18    158
195105    302    442     52     18    158
195106    302    442     52     18    158
195107    307    462     54     19    161
195108    306    462     54     19    161
195109    306    461     54     19    161
195110    306    461     54     19    161
195111    306    459     54     19    161
195112    306    459     54     19    161
195201    306    459     54     19    161
195202    306    459     54     19    161
195203    306    459     54     19    160
195204    305    459     54     19    160
195205    305    459     54     19    160
195206    305    459     54     19    160
195207    309    467     57     19    160
195208    309    467     57     19    160
195209    309    467     57     19    160
195210    309    467     57     18    160
195211    309    466     57     18    160
195212    309    466     57     18    160
195301    309    466     57     18    160
195302    308    466     56     18    160
195303    306    466     55     18    160
195304    306    466     55     18    160
195305    306    465     55     17    157
195306    306    465     55     17    157
195307    307    477     58     18    161
195308    306    477     58     18    161
195309    304    477     58     18    161
195310    303    477     58     18    161
195311    303    476     58     18    161
195312    303    476     58     18    161
195401    303    476     58     18    161
195402    303    476     58     18    161
195403    303    476     58     18    161
195404    303    475     58     18    161
195405    302    473     58     18    161
195406    302    473     58     18    161
195407    301    483     59     18    162
195408    301    482     59     18    162
195409    301    482     59     18    162
195410    300    481     59     18    160
195411    300    480     59     18    160
195412    300    480     59     18    160
195501    300    479     59     18    160
195502    298    478     59     18    160
195503    298    476     59     18    160
195504    298    476     59     17    159
195505    298    475     58     17    158
195506    298    475     58     17    158
195507    302    491     58     17    159
195508    302    489     58     17    158
195509    301    487     58     17    158
195510    300    486     58     17    158
195511    300    486     58     17    158
195512    298    484     58     17    158
195601    296    484     58     17    158
195602    295    484     58     17    158
195603    295    484     58     17    158
195604    295    484     58     17    158
195605    293    484     58     17    158
195606    293    483     58     17    156
195607    294    495     60     17    158
195608    293    494     60     17    157
195609    293    493     60     17    156
195610    293    490     60     17    156
195611    292    490     60     17    156
195612    292    490     60     17    156
195701    292    486     60     17    156
195702    292    486     60     17    156
195703    292    486     60     17    156
195704    291    486     60     17    156
195705    289    485     60     17    156
195706    288    483     60     17    156
195707    293    498     69     17    160
195708    292    497     68     17    160
195709    292    496     68     17    159
195710    290    496     67     17    159
195711    290    496     66     17    159
195712    290    494     66     17    157
195801    290    492     66     17    157
195802    289    492     66     17    157
195803    287    490     66     17    156
195804    287    490     66     17    156
195805    286    489     66     17    156
195806    285    487     66     17    156
195807    281    499     72     20    167
195808    281    498     72     20    166
195809    281    497     72     20    164
195810    281    496     72     20    162
195811    281    496     72     20    162
195812    280    495     72     20    162
195901    280    495     72     20    162
195902    278    495     72     20    162
195903    277    494     71     20    160
195904    277    493     71     20    158
195905    277    493     71     20    158
195906    277    493     71     20    157
195907    284    500     78     22    160
195908    284    500     78     22    159
195909    284    500     78     22    159
195910    283    500     77     22    159
195911    283    499     77     22    159
195912    283    499     76     22    158
196001    283    499     75     22    158
196002    283    499     75     22    157
196003    282    499     75     22    157
196004    281    498     75     22    156
196005    281    496     74     22    156
196006    281    496     74     22    156
196007    290    512     83     23    164
196008    289    512     83     23    164
196009    289    511     83     23    164
196010    286    511     83     23    163
196011    285    511     83     23    162
196012    284    511     83     23    162
196101    282    510     83     22    162
196102    279    510     83     22    161
196103    279    509     83     22    161
196104    278    508     83     22    161
196105    278    508     83     22    161
196106    277    508     83     22    160
196107    289    524     90     23    165
196108    288    523     90     23    163
196109    287    523     90     23    162
196110    286    522     90     23    162
196111    286    522     89     23    161
196112    286    521     88     23    160
196201    286    520     88     23    160
196202    285    518     88     23    160
196203    285    518     88     23    160
196204    285    514     88     23    159
196205    284    513     88     23    159
196206    284    511     87     23    159
196207    294    533     98     23    164
196208    294    533     98     23    164
196209    294    532     98     23    164
196210    293    532     98     23    164
196211    292    531     98     23    164
196212    292    530     98     23    164
196301    292    530     98     23    163
196302    292    529     98     23    163
196303    291    529     98     23    163
196304    291    528     98     23    162
196305    289    526     97     23    161
196306    289    525     96     23    161
196307    554    863    154     36    350
196308    553    862    154     36    346
196309    551    857    154     36    346
196310    550    854    153     36    343
196311    549    852    153     36    342
196312    546    845    153     36    341
196401    545    839    153     36    341
196402    545    838    153     36    341
196403    543    835    153     36    340
196404    542    833    152     36    338
196405    539    829    151     36    337
196406    538    826    151     36    337
196407    581    866    166     38    349
196408    580    865    166     38    348
196409    578    860    166     38    347
196410    578    857    166     38    344
196411    577    855    166     38    343
196412    575    852    164     38    343
196501    574    847    163     38    342
196502    570    844    163     38    341
196503    569    842    160     38    338
196504    567    839    160     38    338
196505    566    837    160     38    335
196506    564    835    160     38    334
196507    601    870    176     39    361
196508    600    868    175     39    360
196509    596    864    174     39    359
196510    591    861    174     39    358
196511    590    859    174     39    356
196512    587    857    173     39    356
196601    584    854    172     38    353
196602    582    848    172     38    351
196603    581    847    172     38    351
196604    578    844    172     38    351
196605    572    841    171     38    350
196606    568    838    171     38    349
196607    606    871    185     39    364
196608    606    870    184     39    360
196609    606    869    184     39    359
196610    605    865    184     39    357
196611    601    862    184     39    355
196612    598    860    183     39    351
196701    596    859    183     39    349
196702    595    857    183     39    348
196703    593    854    181     39    348
196704    591    853    179     39    346
196705    586    848    177     39    343
196706    582    845    177     39    341
196707    607    886    192     40    351
196708    604    882    192     40    349
196709    600    873    191     40    347
196710    596    868    188     40    346
196711    592    865    187     40    345
196712    589    859    186     39    344
196801    585    847    184     38    342
196802    583    843    183     38    339
196803    580    842    183     38    337
196804    577    837    183     38    334
196805    574    832    183     38    333
196806    568    821    182     38    330
196807    604    860    210     44    346
196808    603    858    210     44    344
196809    601    854    209     44    341
196810    597    846    208     44    341
196811    594    841    207     44    340
196812    591    833    207     44    338
196901    585    829    207     44    335
196902    582    824    206     44    334
196903    580    822    205     44    330
196904    576    821    203     44    329
196905    575    817    201     44    328
196906    572    815    201     44    325
196907    639    855    228     49    375
196908    638    853    226     49    374
196909    636    851    226     49    370
196910    636    850    225     49    370
196911    635    846    224     49    369
196912    629    845    222     49    369
197001    627    843    222     49    369
197002    626    841    222     49    369
197003    626    841    222     49    365
197004    626    839    220     49    362
197005    624    834    220     49    362
197006    620    833    219     49    361
197007    687    869    225     53    409
197008    685    867    224     53    407
197009    685    867    221     53    406
197010    685    864    221     53    406
197011    683    863    220     52    405
197012    680    857    219     52    403
197101    676    856    219     51    402
197102    673    854    219     51    401
197103    671    853    218     51    398
197104    669    850    216     51    398
197105    668    846    213     51    395
197106    666    844    211     51    393
197107    713    870    222     60    442
197108    712    869    222     60    441
197109    712    869    220     60    441
197110    712    869    220     60    441
197111    711    866    220     60    441
197112    711    865    219     60    439
197201    710    860    218     60    439
197202    710    860    218     60    438
197203    708    859    217     60    436
197204    707    857    216     60    433
197205    707    855    216     60    430
197206    706    854    215     60    427
197207    768    882    222     70    488
197208    762    881    222     70    485
197209    761    880    222     70    485
197210    758    879    222     70    484
197211    757    877    220     70    482
197212    756    875    220     70    482
197301    751    873    219     70    481
197302    748    870    218     70    480
197303    747    868    218     70    478
197304    745    868    217     70    477
197305    739    864    215     70    475
197306    737    864    214     70    474
197307   1302   1317    470    136   1925
197308   1289   1310    467    136   1906
197309   1282   1306    464    133   1894
197310   1274   1303    460    133   1883
197311   1259   1290    452    133   1853
197312   1243   1283    446    130   1824
197401   1237   1278    444    128   1810
197402   1232   1275    441    128   1803
197403   1230   1274    435    128   1793
197404   1223   1269    432    127   1787
197405   1212   1260    429    125   1776
197406   1202   1256    426    125   1762
197407   1196   1268    432    130   1740
197408   1187   1263    426    129   1728
197409   1175   1262    421    129   1719
197410   1165   1259    417    129   1708
197411   1160   1252    415    129   1698
197412   1155   1242    412    129   1686
197501   1145   1238    410    126   1676
197502   1144   1236    408    125   1672
197503   1140   1232    406    125   1668
197504   1137   1227    406    125   1659
197505   1136   1226    405    125   1656
197506   1128   1220    400    122   1649
197507   1139   1258    407    135   1660
197508   1135   1252    405    135   1655
197509   1133   1251    404    134   1653
197510   1130   1249    404    132   1645
197511   1124   1246    403    132   1641
197512   1118   1244    401    130   1635
197601   1114   1237    400    130   1627
197602   1111   1232    400    130   1623
197603   1101   1231    399    130   1619
197604   1095   1229    395    129   1613
197605   1093   1220    394    129   1607
197606   1088   1216    393    129   1604
197607   1136   1279    413    135   1668
197608   1127   1272    413    135   1662
197609   1125   1269    410    135   1656
197610   1123   1263    410    135   1653
197611   1120   1259    408    134   1651
197612   1118   1252    405    130   1644
197701   1110   1247    401    129   1638
197702   1106   1242    399    128   1634
197703   1098   1237    399    127   1630
197704   1096   1233    398    126   1627
197705   1091   1223    397    124   1625
197706   1085   1217    397    123   1622
197707   1125   1272    430    133   1676
197708   1114   1267    427    132   1668
197709   1110   1262    425    132   1658
197710   1103   1255    423    131   1652
197711   1099   1251    421    130   1650
197712   1092   1239    418    128   1645
197801   1083   1230    413    125   1630
197802   1077   1227    412    125   1621
197803   1072   1223    411    125   1615
197804   1067   1214    408    124   1612
197805   1058   1200    406    123   1606
197806   1049   1183    404    120   1599
197807   1069   1236    423    124   1663
197808   1058   1228    421    124   1655
197809   1051   1225    419    122   1646
197810   1042   1221    417    122   1637
197811   1038   1216    415    122   1628
197812   1034   1212    411    121   1620
197901   1023   1201    409    121   1610
197902   1017   1195    408    120   1597
197903   1013   1190    406    119   1593
197904   1007   1187    402    118   1580
197905   1005   1183    400    117   1572
197906    996   1177    396    115   1557
197907   1015   1228    443    127   1645
197908   1009   1219    442    126   1637
197909   1004   1216    440    124   1628
197910   1000   1212    439    124   1624
197911    993   1208    434    124   1616
197912    987   1202    429    123   1610
198001    977   1192    426    123   1590
198002    971   1188    424    122   1585
198003    967   1185    423    122   1574
198004    960   1178    421    119   1567
198005    954   1174    417    117   1556
198006    950   1170    412    117   1545
198007    988   1266    465    136   1638
198008    985   1260    461    135   1621
198009    975   1253    458    133   1612
198010    970   1251    457    133   1603
198011    968   1246    454    132   1597
198012    960   1242    449    132   1584
198101    948   1239    444    131   1576
198102    940   1232    443    130   1568
198103    936   1224    440    129   1564
198104    929   1217    439    127   1558
198105    924   1212    439    126   1557
198106    916   1204    437    126   1549
198107    977   1385    581    157   1734
198108    970   1379    580    157   1732
198109    963   1378    578    156   1719
198110    956   1372    575    155   1709
198111    950   1368    571    155   1702
198112    942   1361    569    153   1696
198201    938   1358    565    153   1683
198202    934   1352    563    153   1674
198203    927   1347    559    151   1659
198204    920   1340    555    150   1641
198205    910   1338    554    150   1628
198206    902   1335    553    148   1617
198207    957   1439    654    175   1717
198208    952   1433    652    174   1705
198209    948   1420    649    172   1681
198210    941   1411    645    171   1665
198211    932   1407    643    170   1640
198212    931   1396    639    168   1625
198301    921   1382    637    167   1602
198302    917   1372    636    165   1595
198303    912   1368    634    162   1587
198304    910   1359    632    160   1580
198305    906   1353    624    160   1567
198306    901   1342    619    159   1555
198307    998   1419    755    201   1728
198308    992   1403    752    199   1713
198309    986   1392    748    199   1699
198310    985   1383    744    199   1691
198311    981   1380    742    199   1681
198312    973   1368    739    198   1674
198401    964   1356    737    195   1659
198402    950   1348    735    193   1651
198403    947   1339    734    193   1640
198404    941   1331    731    193   1629
198405    932   1328    730    190   1617
198406    924   1317    721    190   1598
198407   1100   1438    996    284   1851
198408   1095   1433    993    283   1838
198409   1076   1415    986    281   1818
198410   1068   1407    975    278   1793
198411   1060   1388    968    277   1776
198412   1052   1377    965    273   1765
198501   1040   1367    957    269   1739
198502   1034   1353    951    268   1730
198503   1027   1342    944    265   1723
198504   1016   1338    936    264   1709
198505    998   1328    930    264   1689
198506    988   1315    917    259   1674
198507   1075   1402   1035    312   1754
198508   1066   1389   1024    311   1731
198509   1056   1382   1017    309   1713
198510   1043   1369   1007    307   1704
198511   1030   1356    998    304   1685
198512   1015   1345    988    300   1668
198601   1008   1334    980    296   1642
198602   1000   1326    975    293   1631
198603    993   1313    962    289   1616
198604    980   1300    955    285   1601
198605    971   1286    949    281   1583
198606    963   1268    939    277   1571
198607   1134   1396   1044    362   1765
198608   1127   1382   1035    359   1748
198609   1117   1369   1026    357   1731
198610   1105   1353   1015    352   1720
198611   1092   1338   1003    345   1700
198612   1074   1307    988    344   1668
198701   1057   1300    976    338   1653
198702   1055   1291    974    335   1648
198703   1049   1279    968    331   1636
198704   1038   1269    966    331   1628
198705   1034   1264    961    331   1614
198706   1025   1254    951    330   1604
198707   1203   1359   1096    412   2049
198708   1192   1349   1082    410   2036
198709   1184   1336   1073    408   2030
198710   1169   1324   1063    407   2009
198711   1154   1313   1057    401   1991
198712   1137   1306   1045    397   1974
198801   1131   1299   1039    392   1958
198802   1123   1287   1023    390   1936
198803   1110   1280   1017    382   1922
198804   1090   1271   1009    381   1909
198805   1065   1258    997    379   1886
198806   1054   1245    987    375   1875
198807   1180   1300   1079    413   2079
198808   1165   1287   1067    406   2053
198809   1154   1277   1057    398   2033
198810   1144   1267   1051    396   2019
198811   1131   1250   1040    391   2003
198812   1107   1238   1025    388   1973
198901   1097   1230   1014    386   1956
198902   1089   1224   1000    384   1941
198903   1080   1217    986    381   1925
198904   1072   1213    980    377   1907
198905   1058   1204    967    374   1893
198906   1045   1189    956    368   1873
198907   1120   1266   1003    398   2002
198908   1109   1256    994    396   1974
198909   1095   1247    987    394   1950
198910   1088   1238    983    389   1938
198911   1076   1233    972    387   1915
198912   1067   1225    967    384   1896
199001   1061   1214    959    380   1875
199002   1051   1209    953    378   1860
199003   1045   1201    946    377   1842
199004   1034   1197    937    373   1827
199005   1027   1189    929    371   1807
199006   1016   1181    913    366   1789
199007   1092   1227    991    426   1945
199008   1082   1219    982    426   1923
199009   1075   1215    977    424   1907
199010   1063   1208    971    420   1892
199011   1056   1200    962    415   1876
199012   1055   1190    953    414   1863
199101   1049   1185    949    411   1839
199102   1043   1180    944    406   1830
199103   1038   1173    935    403   1819
199104   1026   1160    928    400   1800
199105   1016   1152    924    398   1783
199106   1007   1150    919    396   1774
199107   1057   1207    959    458   1877
199108   1049   1203    954    454   1864
199109   1044   1202    947    453   1852
199110   1038   1200    938    450   1840
199111   1028   1197    930    450   1827
199112   1023   1192    918    447   1806
199201   1018   1186    912    445   1790
199202   1009   1182    906    440   1780
199203   1002   1178    899    439   1758
199204    994   1169    893    436   1740
199205    984   1158    884    432   1722
199206    973   1145    870    428   1704
199207   1126   1198    975    549   1840
199208   1113   1188    962    547   1826
199209   1107   1183    959    541   1813
199210   1097   1178    953    533   1793
199211   1090   1175    948    533   1784
199212   1088   1171    942    532   1766
199301   1085   1167    934    531   1748
199302   1080   1165    931    528   1735
199303   1075   1162    923    526   1715
199304   1072   1160    920    522   1707
199305   1071   1156    917    518   1697
199306   1065   1147    914    517   1686
199307   1207   1210   1035    596   1907
199308   1203   1204   1032    590   1896
199309   1200   1201   1027    587   1889
199310   1195   1198   1024    584   1876
199311   1190   1189   1022    582   1871
199312   1185   1184   1013    580   1852
199401   1178   1181   1011    579   1832
199402   1174   1176   1005    574   1820
199403   1172   1173   1002    572   1806
199404   1171   1167    995    567   1795
199405   1168   1161    988    561   1783
199406   1163   1157    984    553   1765
199407   1369   1314   1160    623   2081
199408   1362   1307   1152    622   2062
199409   1352   1304   1141    618   2046
199410   1348   1299   1135    609   2034
199411   1341   1294   1128    605   2021
199412   1331   1285   1114    600   2006
199501   1324   1281   1105    595   1980
199502   1319   1274   1098    591   1965
199503   1309   1266   1088    585   1949
199504   1298   1261   1085    581   1931
199505   1284   1252   1079    574   1914
199506   1271   1243   1065    573   1897
199507   1387   1315   1209    621   2103
199508   1375   1314   1199    613   2093
199509   1369   1307   1192    608   2081
199510   1358   1301   1184    603   2061
199511   1349   1294   1178    594   2047
199512   1342   1291   1166    591   2029
199601   1331   1283   1160    587   1994
199602   1322   1273   1150    584   1980
199603   1321   1263   1147    580   1962
199604   1318   1257   1141    577   1938
199605   1311   1248   1133    573   1923
199606   1299   1244   1130    569   1910
199607   1429   1333   1415    698   2191
199608   1421   1322   1403    693   2177
199609   1407   1316   1398    689   2165
199610   1396   1307   1390    688   2146
199611   1388   1301   1382    686   2127
199612   1376   1293   1374    679   2107
199701   1366   1283   1362    674   2089
199702   1354   1281   1352    671   2076
199703   1344   1271   1340    666   2054
199704   1336   1269   1329    662   2035
199705   1329   1264   1319    659   2020
199706   1317   1257   1308    655   1991
199707   1432   1340   1522    736   2244
199708   1418   1321   1511    731   2220
199709   1401   1315   1502    721   2205
199710   1389   1301   1495    714   2184
199711   1379   1293   1482    709   2165
199712   1362   1279   1462    702   2132
199801   1345   1266   1448    697   2114
199802   1331   1262   1433    693   2088
199803   1313   1253   1418    684   2056
199804   1302   1241   1406    681   2027
199805   1291   1235   1390    675   2003
199806   1279   1218   1367    668   1976
199807   1388   1270   1537    730   2200
199808   1373   1260   1520    722   2174
199809   1353   1247   1493    714   2156
199810   1331   1232   1464    694   2124
199811   1320   1225   1449    685   2103
199812   1303   1216   1431    675   2071
199901   1285   1202   1412    667   2044
199902   1269   1189   1398    661   2020
199903   1248   1171   1375    648   1993
199904   1232   1157   1360    642   1974
199905   1218   1147   1339    638   1956
199906   1203   1138   1316    628   1932
199907   1240   1154   1485    632   2069
199908   1228   1129   1465    626   2050
199909   1214   1117   1447    614   2030
199910   1206   1104   1429    608   2002
199911   1199   1083   1408    591   1976
199912   1180   1074   1387    583   1954
200001   1171   1069   1370    578   1934
200002   1162   1058   1351    572   1914
200003   1155   1048   1338    570   1874
200004   1144   1040   1324    567   1851
200005   1133   1033   1309    561   1838
200006   1120   1021   1290    556   1812
200007   1166   1041   1659    602   1928
200008   1151   1033   1643    595   1913
200009   1139   1015   1627    586   1896
200010   1115   1003   1607    578   1864
200011   1096    989   1591    564   1840
200012   1075    977   1570    553   1822
200101   1059    960   1551    549   1790
200102   1047    956   1532    543   1770
200103   1034    947   1508    539   1754
200104   1021    936   1477    531   1728
200105   1001    922   1446    525   1710
200106    990    915   1421    522   1684
200107    987    962   1546    570   1725
200108    967    951   1501    566   1707
200109    957    946   1489    563   1689
200110    948    940   1472    561   1674
200111    933    930   1446    557   1650
200112    924    926   1430    555   1627
200201    913    918   1414    553   1606
200202    906    911   1399    551   1585
200203    896    905   1385    550   1569
200204    890    895   1366    544   1552
200205    886    891   1346    543   1541
200206    880    885   1327    538   1537
200207    897    883   1365    568   1576
200208    891    877   1338    565   1556
200209    888    873   1321    563   1546
200210    880    864   1301    557   1534
200211    877    856   1285    555   1523
200212    872    851   1265    548   1514
200301    866    843   1248    544   1496
200302    862    838   1232    539   1488
200303    855    832   1201    527   1472
200304    843    828   1187    522   1467
200305    835    826   1173    521   1453
200306    827    824   1158    516   1446
200307    835    835   1173    518   1496
200308    829    831   1157    514   1482
200309    823    828   1146    513   1476
200310    817    824   1133    512   1467
200311    813    822   1120    510   1451
200312    806    816   1110    509   1438
200401    799    813   1103    506   1425
200402    796    810   1095    503   1416
200403    794    805   1081    502   1410
200404    785    803   1076    499   1396
200405    779    799   1072    497   1381
200406    776    796   1063    493   1370
200407    802    804   1117    550   1449
200408    794    802   1107    547   1442
200409    791    798   1106    547   1430
200410    785    795   1097    546   1418
200411    780    792   1087    545   1407
200412    775    787   1080    542   1395
200501    774    780   1076    539   1375
200502    770    778   1070    538   1363
200503    763    770   1067    537   1355
200504    757    766   1060    535   1347
200505    752    762   1050    532   1336
200506    749    759   1037    530   1330
200507    787    796   1105    568   1425
200508    778    791   1091    564   1416
200509    774    788   1082    559   1409
200510    763    782   1072    554   1404
200511    758    781   1060    548   1398
200512    750    775   1054    545   1385
200601    745    773   1041    539   1374
200602    738    770   1026    535   1369
200603    732    770   1018    531   1360
200604    729    765   1011    524   1353
200605    724    762   1001    520   1345
200606    718    759    994    518   1338
200607    764    804   1040    572   1439
200608    761    801   1031    571   1432
200609    755    798   1026    570   1426
200610    751    793   1014    569   1417
200611    742    791   1009    561   1406
200612    739    784    998    556   1396
200701    733    779    985    549   1382
200702    729    775    976    547   1371
200703    724    771    966    545   1365
200704    721    761    956    538   1352
200705    715    757    946    537   1344
200706    709    747    938    533   1336
200707    730    792   1005    577   1443
200708    722    789    995    571   1428
200709    717    787    983    568   1420
200710    709    784    972    564   1404
200711    699    779    962    556   1394
200712    692    774    952    553   1382
200801    690    772    944    548   1375
200802    688    766    939    544   1363
200803    685    761    932    538   1351
200804    679    756    926    531   1341
200805    672    752    916    522   1332
200806    671    750    910    519   1322
200807    692    793    955    552   1398
200808    687    788    943    547   1393
200809    682    785    930    542   1384
200810    674    783    920    535   1372
200811    666    777    911    533   1358
200812    663    773    904    525   1347
200901    657    770    900    517   1335
200902    652    766    894    512   1324
200903    649    757    888    504   1312
200904    645    749    878    501   1300
200905    643    744    874    493   1292
200906    639    742    861    486   1282
200907    643    754    866    496   1300
200908    639    751    861    492   1290
200909    636    750    860    487   1279
200910    634    747    852    482   1268
200911    628    740    843    477   1258
200912    625    737    837    472   1245
201001    622    737    830    467   1232
201002    620    734    821    464   1221
201003    614    729    818    458   1215
201004    614    726    807    458   1203
201005    611    723    804    457   1195
201006    610    720    803    455   1187
201007    629    757    833    479   1218
201008    626    755    826    476   1216
201009    624    748    821    473   1213
201010    622    747    809    468   1205
201011    619    742    802    463   1196
201012    617    733    792    456   1184
201101    615    729    787    453   1175
201102    613    724    780    449   1173
201103    606    720    775    446   1167
201104    602    717    764    442   1155
201105    598    714    758    440   1147
201106    593    708    750    430   1137
201107    607    730    793    458   1173
201108    606    728    788    456   1171
201109    605    724    783    454   1166
201110    603    722    777    450   1159
201111    599    716    770    447   1150
201112    595    708    766    445   1142
201201    593    704    758    443   1134
201202    591    702    751    439   1129
201203    590    697    747    436   1124
201204    587    695    744    432   1118
201205    585    691    741    431   1108
201206    579    687    740    427   1101
